rule_id,category,condition,confidence,is_enforced,line,modality,name,needs_review,origin,signal_strength,verification_method
BR-001,LIMIT_CHECK,(v_today_txn_total + p_amount) > v_daily_limit,confirmed,,91,deontic,Enforce Amount,False,named_exception,5,Test (exercise the code path)
BR-002,LIMIT_CHECK,v_from_balance < p_amount,confirmed,,79,deontic,Enforce From Balance at or above Amount,False,named_exception,5,Test (exercise the code path)
BR-003,LIMIT_CHECK,v_account_type = 'CURRENT_PREMIUM',confirmed,,33,deontic,Enforce Minimum Balance Req for CURRENT_PREMIUM,False,case_branch,5,Test (exercise the code path)
BR-004,LIMIT_CHECK,v_account_type = 'CURRENT_REGULAR',confirmed,,32,deontic,Enforce Minimum Balance Req for CURRENT_REGULAR,False,case_branch,5,Test (exercise the code path)
BR-005,LIMIT_CHECK,v_account_type = 'SAVINGS_PREMIUM',confirmed,,30,deontic,Enforce Minimum Balance Req for SAVINGS_PREMIUM,False,case_branch,5,Test (exercise the code path)
BR-006,LIMIT_CHECK,v_account_type = 'SAVINGS_REGULAR',confirmed,,29,deontic,Enforce Minimum Balance Req for SAVINGS_REGULAR,False,case_branch,5,Test (exercise the code path)
BR-007,LIMIT_CHECK,v_account_type = 'SAVINGS_ZERO_BAL',confirmed,,31,deontic,Enforce Minimum Balance Req for SAVINGS_ZERO_BAL,False,case_branch,5,Test (exercise the code path)
BR-008,ERROR_HANDLING,unhandled error on a single record,confirmed,,76,deontic,Isolate per-record failures from the batch,False,failure_isolation,5,Test (exercise the code path)
BR-009,ERROR_HANDLING,NO_DATA_FOUND,confirmed,,55,deontic,Report missing Accounts record,False,predefined_exception,5,Test (exercise the code path)
BR-010,ERROR_HANDLING,NO_DATA_FOUND,confirmed,,50,deontic,Report missing Accounts record,False,predefined_exception,5,Test (exercise the code path)
BR-011,ERROR_HANDLING,unrecoverable failure -> -20010,confirmed,,92,deontic,Report run failure as error -20010,False,error_contract,5,Test (exercise the code path)
BR-012,VALIDATION,row must exist in accounts,confirmed,,56,deontic,Require the Accounts record for From Account to exist,False,named_exception,5,Test (exercise the code path)
BR-013,VALIDATION,row must exist in accounts,confirmed,,71,deontic,Require the Accounts record for To Account to exist,False,named_exception,5,Test (exercise the code path)
BR-014,VALIDATION,"account_status IN ('ACTIVE','DORMANT','CLOSED')",confirmed,True,,alethic,Restrict Account Status to allowed values,False,ddl_check_constraint,5,Inspection (database schema)
BR-015,VALIDATION,account_status = 'ACTIVE' AND account_type LIKE 'SAVINGS%',confirmed,,17,deontic,Restrict processing to eligible Accounts records,False,cursor_eligibility,5,Test (exercise the code path)
BR-016,VALIDATION,p_amount IS NULL OR p_amount <= 0,confirmed,,36,deontic,Validate Amount,False,named_exception,5,Test (exercise the code path)
BR-017,VALIDATION,v_from_status <> 'ACTIVE',confirmed,,60,deontic,Validate From Status is ACTIVE,False,named_exception,5,Test (exercise the code path)
BR-018,VALIDATION,v_to_status <> 'ACTIVE',confirmed,,75,deontic,Validate To Status is ACTIVE,False,named_exception,5,Test (exercise the code path)
BR-019,CALCULATION,v_days_in_month := EXTRACT(DAY FROM LAST_DAY(p_run_date)),high,,32,deontic,Determine Days In Month,False,variable_derivation,4,Test (exercise the code path)
BR-020,CALCULATION,"v_days_inactive := p_as_of_date - NVL(v_last_txn_date, p_as_of_date - 9999)",high,,25,deontic,Determine Days Inactive,False,variable_derivation,4,Test (exercise the code path)
