column_id,is_identity,is_primary_key,is_virtual,name,nullable,oracle_type,table,target_type,title,usage_count
ACCOUNTS.ACCOUNT_NUMBER,False,True,False,ACCOUNT_NUMBER,False,VARCHAR2(20),ACCOUNTS,StringType,Account Number,4
ACCOUNTS.ACCOUNT_OPEN_DATE,False,False,False,ACCOUNT_OPEN_DATE,True,DATE,ACCOUNTS,TimestampType,Account Open Date,0
ACCOUNTS.ACCOUNT_STATUS,False,False,False,ACCOUNT_STATUS,False,VARCHAR2(20),ACCOUNTS,StringType,Account Status,2
ACCOUNTS.ACCOUNT_TYPE,False,False,False,ACCOUNT_TYPE,False,VARCHAR2(20),ACCOUNTS,StringType,Account Type,1
ACCOUNTS.BALANCE,False,False,False,BALANCE,False,"NUMBER(18,2)",ACCOUNTS,"DecimalType(18,2)",Balance,3
ACCOUNTS.CUSTOMER_ID,False,False,False,CUSTOMER_ID,False,VARCHAR2(20),ACCOUNTS,StringType,Customer Identifier,0
ACCOUNTS.DAILY_TRANSFER_LIMIT,False,False,False,DAILY_TRANSFER_LIMIT,True,"NUMBER(18,2)",ACCOUNTS,"DecimalType(18,2)",Daily Transfer Limit,1
ACCOUNTS.LAST_MODIFIED_BY,False,False,False,LAST_MODIFIED_BY,True,VARCHAR2(50),ACCOUNTS,StringType,Last Modified by,1
ACCOUNTS.LAST_TRANSACTION_DATE,False,False,False,LAST_TRANSACTION_DATE,True,DATE,ACCOUNTS,TimestampType,Last Transaction Date,3
ACCOUNTS.STATUS_CHANGE_DATE,False,False,False,STATUS_CHANGE_DATE,True,DATE,ACCOUNTS,TimestampType,Status Change Date,1
BATCH_CONTROL_LOG.BATCH_NAME,False,False,False,BATCH_NAME,False,VARCHAR2(50),BATCH_CONTROL_LOG,StringType,Batch Name,0
BATCH_CONTROL_LOG.BATCH_RUN_ID,False,True,False,BATCH_RUN_ID,False,NUMBER,BATCH_CONTROL_LOG,"DecimalType(38,10)",Batch Run Identifier,0
BATCH_CONTROL_LOG.BUSINESS_DATE,False,False,False,BUSINESS_DATE,False,DATE,BATCH_CONTROL_LOG,TimestampType,Business Date,0
BATCH_CONTROL_LOG.CONTROL_TOTAL,False,False,False,CONTROL_TOTAL,True,"NUMBER(20,2)",BATCH_CONTROL_LOG,"DecimalType(20,2)",Control Total,0
BATCH_CONTROL_LOG.END_TIME,False,False,False,END_TIME,True,TIMESTAMP,BATCH_CONTROL_LOG,TimestampType,End Time,0
BATCH_CONTROL_LOG.ERROR_MESSAGE,False,False,False,ERROR_MESSAGE,True,VARCHAR2(1000),BATCH_CONTROL_LOG,StringType,Error Message,0
BATCH_CONTROL_LOG.RECORDS_FAILED,False,False,False,RECORDS_FAILED,True,NUMBER,BATCH_CONTROL_LOG,"DecimalType(38,10)",Records Failed,0
BATCH_CONTROL_LOG.RECORDS_PROCESSED,False,False,False,RECORDS_PROCESSED,True,NUMBER,BATCH_CONTROL_LOG,"DecimalType(38,10)",Records Processed,0
BATCH_CONTROL_LOG.START_TIME,False,False,False,START_TIME,True,TIMESTAMP,BATCH_CONTROL_LOG,TimestampType,Start Time,0
