parameter_id,data_type,mode,name,object_id,title
FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_annual_rate,NUMBER,IN,p_annual_rate,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Annual Rate
FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_day_count_basis,VARCHAR2,IN,p_day_count_basis,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Day Count Basis
FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_principal,NUMBER,IN,p_principal,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Principal
FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_tenure_days,NUMBER,IN,p_tenure_days,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Tenure Days
PROC-.SP_CHECK_MINIMUM_BALANCE::p_account_number,VARCHAR2,IN,p_account_number,PROC-.SP_CHECK_MINIMUM_BALANCE,Account Number
PROC-.SP_CHECK_MINIMUM_BALANCE::p_message,VARCHAR2,OUT,p_message,PROC-.SP_CHECK_MINIMUM_BALANCE,Message
PROC-.SP_CHECK_MINIMUM_BALANCE::p_penalty_amount,NUMBER,OUT,p_penalty_amount,PROC-.SP_CHECK_MINIMUM_BALANCE,Penalty Amount
PROC-.SP_CHECK_MINIMUM_BALANCE::p_shortfall_amount,NUMBER,OUT,p_shortfall_amount,PROC-.SP_CHECK_MINIMUM_BALANCE,Shortfall Amount
PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT::p_accounts_failed,NUMBER,OUT,p_accounts_failed,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Accounts Failed
PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT::p_accounts_processed,NUMBER,OUT,p_accounts_processed,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Accounts Processed
PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT::p_run_date,DATE,IN,p_run_date,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Run Date
PROC-.SP_TRANSFER_FUNDS::p_amount,NUMBER,IN,p_amount,PROC-.SP_TRANSFER_FUNDS,Amount
PROC-.SP_TRANSFER_FUNDS::p_from_account,VARCHAR2,IN,p_from_account,PROC-.SP_TRANSFER_FUNDS,From Account
PROC-.SP_TRANSFER_FUNDS::p_message,VARCHAR2,OUT,p_message,PROC-.SP_TRANSFER_FUNDS,Message
PROC-.SP_TRANSFER_FUNDS::p_status,VARCHAR2,OUT,p_status,PROC-.SP_TRANSFER_FUNDS,Status
PROC-.SP_TRANSFER_FUNDS::p_to_account,VARCHAR2,IN,p_to_account,PROC-.SP_TRANSFER_FUNDS,To Account
PROC-.SP_TRANSFER_FUNDS::p_txn_ref,VARCHAR2,IN,p_txn_ref,PROC-.SP_TRANSFER_FUNDS,Transaction Reference
PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS::p_account_number,VARCHAR2,IN,p_account_number,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Account Number
PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS::p_as_of_date,DATE,IN,p_as_of_date,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,As of Date
PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS::p_result,VARCHAR2,OUT,p_result,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Result
