statement_id,end_line,line,nesting_depth,object_id,type
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0001,21,19,1,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,IF
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0002,20,20,2,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,CALL
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0003,25,23,1,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,IF
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0004,24,24,2,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,CALL
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0005,29,27,1,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,IF
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0006,28,28,2,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,CALL
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0007,36,32,1,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,IF
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0008,33,33,2,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,ASSIGNMENT
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0009,35,35,2,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,ASSIGNMENT
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0010,40,39,1,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,ASSIGNMENT
01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0011,42,42,1,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,RETURN
