from_label,from_key,to_label,to_key,properties
BusinessRule,BR-014,RuleSet,RS-004,
BusinessRule,BR-033,RuleSet,RS-004,
BusinessRule,BR-027,RuleSet,RS-004,
BusinessRule,BR-034,RuleSet,RS-004,
BusinessRule,BR-030,RuleSet,RS-004,
BusinessRule,BR-038,RuleSet,RS-004,
BusinessRule,BR-028,RuleSet,RS-004,
BusinessRule,BR-029,RuleSet,RS-004,
BusinessRule,BR-037,RuleSet,RS-004,
BusinessRule,BR-009,RuleSet,RS-002,
BusinessRule,BR-006,RuleSet,RS-003,
BusinessRule,BR-005,RuleSet,RS-003,
BusinessRule,BR-007,RuleSet,RS-003,
BusinessRule,BR-004,RuleSet,RS-003,
BusinessRule,BR-003,RuleSet,RS-003,
BusinessRule,BR-026,RuleSet,RS-003,
BusinessRule,BR-025,RuleSet,RS-003,
BusinessRule,BR-036,RuleSet,RS-004,
BusinessRule,BR-010,RuleSet,RS-002,
BusinessRule,BR-015,RuleSet,RS-004,
BusinessRule,BR-041,RuleSet,RS-003,
BusinessRule,BR-039,RuleSet,RS-003,
BusinessRule,BR-040,RuleSet,RS-003,
BusinessRule,BR-035,RuleSet,RS-004,
BusinessRule,BR-032,RuleSet,RS-004,
BusinessRule,BR-008,RuleSet,RS-002,
BusinessRule,BR-011,RuleSet,RS-002,
BusinessRule,BR-016,RuleSet,RS-004,
BusinessRule,BR-031,RuleSet,RS-004,
BusinessRule,BR-012,RuleSet,RS-004,
BusinessRule,BR-017,RuleSet,RS-004,
BusinessRule,BR-013,RuleSet,RS-004,
BusinessRule,BR-018,RuleSet,RS-004,
BusinessRule,BR-002,RuleSet,RS-003,
BusinessRule,BR-001,RuleSet,RS-003,
BusinessRule,BR-021,RuleSet,RS-001,
BusinessRule,BR-020,RuleSet,RS-001,
BusinessRule,BR-023,RuleSet,RS-001,
BusinessRule,BR-019,RuleSet,RS-001,
BusinessRule,BR-022,RuleSet,RS-001,
BusinessRule,BR-024,RuleSet,RS-001,
