from_label,from_key,to_label,to_key,properties
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0001,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0002,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0003,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0004,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0005,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0006,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0007,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0008,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0009,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0010,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0011,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0012,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0013,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0014,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0001,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0002,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0003,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0004,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0005,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0006,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0007,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0008,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0009,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0010,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0011,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0012,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0013,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0014,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0015,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0002,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0003,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0004,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0005,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0006,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0007,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0008,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0009,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0010,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0011,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0012,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0013,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0014,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0015,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0016,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0001,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0002,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0003,
