from_label,from_key,to_label,to_key,properties
Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0007,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,"{""variable"": ""V_INTEREST""}"
Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0008,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,"{""variable"": ""V_INTEREST""}"
Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0009,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,"{""variable"": ""V_INTEREST""}"
Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0010,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,"{""variable"": ""V_INTEREST""}"
Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0007,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,"{""variable"": ""V_BASIS_DAYS""}"
Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0008,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,"{""variable"": ""V_BASIS_DAYS""}"
Statement,01_SIMPLE_CALCULATE_SIMPLE_INTEREST__4CCD8A69__FUNC-.FN_CALCULATE_SIMPLE_INTEREST__STMT_0009,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,"{""variable"": ""V_BASIS_DAYS""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0001,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""V_LAST_TXN_DATE""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0001,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""V_CURRENT_STATUS""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0001,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""V_DAYS_INACTIVE""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0002,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""V_DAYS_INACTIVE""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0003,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0005,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0007,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0008,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0010,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0011,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0012,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0014,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,"{""variable"": ""P_RESULT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""V_CURRENT_BALANCE""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""V_ACCOUNT_TYPE""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""V_MIN_BALANCE_REQ""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0002,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""V_MIN_BALANCE_REQ""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0002,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0003,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0004,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0005,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0007,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0008,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0010,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0012,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0013,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_PENALTY_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_SHORTFALL_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0002,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_SHORTFALL_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0003,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_SHORTFALL_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0004,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_SHORTFALL_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0007,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_SHORTFALL_AMOUNT""}"
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0010,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,"{""variable"": ""P_SHORTFALL_AMOUNT""}"
