from_label,from_key,to_label,to_key,properties
BusinessRule,BR-033,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,
BusinessRule,BR-027,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,
BusinessRule,BR-034,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,
BusinessRule,BR-030,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,
BusinessRule,BR-038,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,
BusinessRule,BR-028,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,
BusinessRule,BR-029,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,
BusinessRule,BR-037,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,
BusinessRule,BR-009,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,
BusinessRule,BR-006,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-005,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-007,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-004,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-003,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-026,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-025,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-036,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-010,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-015,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-041,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-039,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-040,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-035,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-032,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-008,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-011,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-016,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-031,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-012,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-017,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-013,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-018,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-002,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-001,Object,PROC-.SP_TRANSFER_FUNDS,
BusinessRule,BR-021,Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,
BusinessRule,BR-020,Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,
BusinessRule,BR-023,Object,PROC-.SP_CHECK_MINIMUM_BALANCE,
BusinessRule,BR-019,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-022,Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,
BusinessRule,BR-024,Object,PROC-.SP_TRANSFER_FUNDS,
