from_label,from_key,to_label,to_key,properties
Table,CUSTOMERS,Column,CUSTOMERS.CUSTOMER_ID,
Table,CUSTOMERS,Column,CUSTOMERS.CUSTOMER_NAME,
Table,CUSTOMERS,Column,CUSTOMERS.DATE_OF_BIRTH,
Table,CUSTOMERS,Column,CUSTOMERS.REGISTERED_COUNTRY,
Table,CUSTOMERS,Column,CUSTOMERS.KYC_STATUS,
Table,CUSTOMERS,Column,CUSTOMERS.CUSTOMER_SINCE_DATE,
Table,ACCOUNTS,Column,ACCOUNTS.ACCOUNT_NUMBER,
Table,ACCOUNTS,Column,ACCOUNTS.CUSTOMER_ID,
Table,ACCOUNTS,Column,ACCOUNTS.ACCOUNT_TYPE,
Table,ACCOUNTS,Column,ACCOUNTS.BALANCE,
Table,ACCOUNTS,Column,ACCOUNTS.ACCOUNT_STATUS,
Table,ACCOUNTS,Column,ACCOUNTS.DAILY_TRANSFER_LIMIT,
Table,ACCOUNTS,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Table,ACCOUNTS,Column,ACCOUNTS.STATUS_CHANGE_DATE,
Table,ACCOUNTS,Column,ACCOUNTS.LAST_MODIFIED_BY,
Table,ACCOUNTS,Column,ACCOUNTS.ACCOUNT_OPEN_DATE,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.TXN_ID,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.ACCOUNT_NUMBER,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.TXN_DATE,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.TXN_TYPE,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.TXN_AMOUNT,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.RUNNING_BALANCE,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.REFERENCE_NUMBER,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.NARRATION,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.ORIGIN_COUNTRY,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.BENEFICIARY_ID,
Table,TRANSACTION_LEDGER,Column,TRANSACTION_LEDGER.HOLD_FLAG,
Table,BATCH_ERROR_LOG,Column,BATCH_ERROR_LOG.LOG_ID,
Table,BATCH_ERROR_LOG,Column,BATCH_ERROR_LOG.BATCH_NAME,
Table,BATCH_ERROR_LOG,Column,BATCH_ERROR_LOG.ENTITY_KEY,
Table,BATCH_ERROR_LOG,Column,BATCH_ERROR_LOG.ERROR_MESSAGE,
Table,BATCH_ERROR_LOG,Column,BATCH_ERROR_LOG.LOG_DATE,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.BATCH_RUN_ID,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.BATCH_NAME,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.BUSINESS_DATE,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.START_TIME,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.END_TIME,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.STATUS,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.RECORDS_PROCESSED,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.RECORDS_FAILED,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.CONTROL_TOTAL,
Table,BATCH_CONTROL_LOG,Column,BATCH_CONTROL_LOG.ERROR_MESSAGE,
Table,LOAN_MASTER,Column,LOAN_MASTER.LOAN_ACCOUNT_NUMBER,
Table,LOAN_MASTER,Column,LOAN_MASTER.CUSTOMER_ID,
Table,LOAN_MASTER,Column,LOAN_MASTER.LOAN_TYPE,
Table,LOAN_MASTER,Column,LOAN_MASTER.PRINCIPAL_AMOUNT,
Table,LOAN_MASTER,Column,LOAN_MASTER.OUTSTANDING_PRINCIPAL,
Table,LOAN_MASTER,Column,LOAN_MASTER.ANNUAL_INTEREST_RATE,
Table,LOAN_MASTER,Column,LOAN_MASTER.TENURE_MONTHS,
Table,LOAN_MASTER,Column,LOAN_MASTER.DISBURSEMENT_DATE,
