from_label,from_key,to_label,to_key,properties
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Parameter,FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_principal,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Parameter,FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_annual_rate,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Parameter,FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_tenure_days,
Object,FUNC-.FN_CALCULATE_SIMPLE_INTEREST,Parameter,FUNC-.FN_CALCULATE_SIMPLE_INTEREST::p_day_count_basis,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Parameter,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS::p_account_number,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Parameter,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS::p_as_of_date,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Parameter,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS::p_result,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Parameter,PROC-.SP_CHECK_MINIMUM_BALANCE::p_account_number,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Parameter,PROC-.SP_CHECK_MINIMUM_BALANCE::p_penalty_amount,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Parameter,PROC-.SP_CHECK_MINIMUM_BALANCE::p_shortfall_amount,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Parameter,PROC-.SP_CHECK_MINIMUM_BALANCE::p_message,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Parameter,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT::p_run_date,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Parameter,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT::p_accounts_processed,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Parameter,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT::p_accounts_failed,
Object,PROC-.SP_TRANSFER_FUNDS,Parameter,PROC-.SP_TRANSFER_FUNDS::p_from_account,
Object,PROC-.SP_TRANSFER_FUNDS,Parameter,PROC-.SP_TRANSFER_FUNDS::p_to_account,
Object,PROC-.SP_TRANSFER_FUNDS,Parameter,PROC-.SP_TRANSFER_FUNDS::p_amount,
Object,PROC-.SP_TRANSFER_FUNDS,Parameter,PROC-.SP_TRANSFER_FUNDS::p_txn_ref,
Object,PROC-.SP_TRANSFER_FUNDS,Parameter,PROC-.SP_TRANSFER_FUNDS::p_status,
Object,PROC-.SP_TRANSFER_FUNDS,Parameter,PROC-.SP_TRANSFER_FUNDS::p_message,
