from_label,from_key,to_label,to_key,properties
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Column,ACCOUNTS.ACCOUNT_NUMBER,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0001,Column,ACCOUNTS.ACCOUNT_NUMBER,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Column,ACCOUNTS.ACCOUNT_STATUS,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0001,Column,ACCOUNTS.ACCOUNT_STATUS,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0001,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0004,Column,ACCOUNTS.ACCOUNT_NUMBER,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0006,Column,ACCOUNTS.ACCOUNT_NUMBER,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Column,ACCOUNTS.ACCOUNT_NUMBER,
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Column,ACCOUNTS.ACCOUNT_NUMBER,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Column,ACCOUNTS.ACCOUNT_TYPE,
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Column,ACCOUNTS.ACCOUNT_TYPE,
Object,PROC-.SP_CHECK_MINIMUM_BALANCE,Column,ACCOUNTS.BALANCE,
Statement,03_SIMPLE_CHECK_MINIMUM_BALANCE__C83B3807__PROC-.SP_CHECK_MINIMUM_BALANCE__STMT_0001,Column,ACCOUNTS.BALANCE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,ACCOUNTS.ACCOUNT_NUMBER,
