from_label,from_key,to_label,to_key,properties
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Column,ACCOUNTS.ACCOUNT_STATUS,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0004,Column,ACCOUNTS.ACCOUNT_STATUS,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Column,ACCOUNTS.LAST_MODIFIED_BY,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0004,Column,ACCOUNTS.LAST_MODIFIED_BY,
Object,PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS,Column,ACCOUNTS.STATUS_CHANGE_DATE,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0004,Column,ACCOUNTS.STATUS_CHANGE_DATE,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0006,Column,ACCOUNTS.ACCOUNT_STATUS,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0006,Column,ACCOUNTS.LAST_MODIFIED_BY,
Statement,02_SIMPLE_UPDATE_DORMANT_ACCOUNT_STATUS__D2070F06__PROC-.SP_UPDATE_DORMANT_ACCOUNT_STATUS__STMT_0006,Column,ACCOUNTS.STATUS_CHANGE_DATE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,ACCOUNTS.BALANCE,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0014,Column,ACCOUNTS.BALANCE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0014,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,TRANSACTION_LEDGER.ACCOUNT_NUMBER,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0015,Column,TRANSACTION_LEDGER.ACCOUNT_NUMBER,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,TRANSACTION_LEDGER.NARRATION,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0015,Column,TRANSACTION_LEDGER.NARRATION,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,TRANSACTION_LEDGER.RUNNING_BALANCE,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0015,Column,TRANSACTION_LEDGER.RUNNING_BALANCE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,TRANSACTION_LEDGER.TXN_AMOUNT,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0015,Column,TRANSACTION_LEDGER.TXN_AMOUNT,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,TRANSACTION_LEDGER.TXN_DATE,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0015,Column,TRANSACTION_LEDGER.TXN_DATE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,TRANSACTION_LEDGER.TXN_ID,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0015,Column,TRANSACTION_LEDGER.TXN_ID,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,TRANSACTION_LEDGER.TXN_TYPE,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0015,Column,TRANSACTION_LEDGER.TXN_TYPE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,BATCH_ERROR_LOG.BATCH_NAME,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0018,Column,BATCH_ERROR_LOG.BATCH_NAME,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,BATCH_ERROR_LOG.ENTITY_KEY,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0018,Column,BATCH_ERROR_LOG.ENTITY_KEY,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,BATCH_ERROR_LOG.ERROR_MESSAGE,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0018,Column,BATCH_ERROR_LOG.ERROR_MESSAGE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,BATCH_ERROR_LOG.LOG_DATE,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0018,Column,BATCH_ERROR_LOG.LOG_DATE,
Object,PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT,Column,BATCH_ERROR_LOG.LOG_ID,
Statement,04_MEDIUM_PROCESS_MONTHLY_INTEREST_CREDIT__B115DB87__PROC-.SP_PROCESS_MONTHLY_INTEREST_CREDIT__STMT_0018,Column,BATCH_ERROR_LOG.LOG_ID,
Object,PROC-.SP_TRANSFER_FUNDS,Column,ACCOUNTS.BALANCE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0026,Column,ACCOUNTS.BALANCE,
Object,PROC-.SP_TRANSFER_FUNDS,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0026,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.ACCOUNT_NUMBER,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.ACCOUNT_NUMBER,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.NARRATION,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.NARRATION,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.REFERENCE_NUMBER,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.REFERENCE_NUMBER,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.RUNNING_BALANCE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.RUNNING_BALANCE,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.TXN_AMOUNT,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.TXN_AMOUNT,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.TXN_DATE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.TXN_DATE,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.TXN_ID,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.TXN_ID,
Object,PROC-.SP_TRANSFER_FUNDS,Column,TRANSACTION_LEDGER.TXN_TYPE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0027,Column,TRANSACTION_LEDGER.TXN_TYPE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0028,Column,ACCOUNTS.BALANCE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0028,Column,ACCOUNTS.LAST_TRANSACTION_DATE,
Object,PROC-.SP_TRANSFER_FUNDS,Column,ACCOUNTS.ACCOUNT_NUMBER,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,ACCOUNTS.ACCOUNT_NUMBER,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.ACCOUNT_NUMBER,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.NARRATION,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.REFERENCE_NUMBER,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.RUNNING_BALANCE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.TXN_AMOUNT,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.TXN_DATE,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.TXN_ID,
Statement,05_MEDIUM_FUND_TRANSFER_WITH_VALIDATION__5E3A3BBB__PROC-.SP_TRANSFER_FUNDS__STMT_0029,Column,TRANSACTION_LEDGER.TXN_TYPE,
